,result,table,_time,3FS_azimuth_Manual,CTRL_sta_command_Manual,3FS_z_voltage_Manual,3FS_x_voltage_Manual,CTRL_sta_equivalent_lacet_Manual,3FS_total_force_Manual,CTRL_sta_setpoint_elevation_Manual,CTRL_border_choquer_Manual,CTRL_zen_command_Manual,3FS_elevation_Manual,KITE_azimuth_b_Manual,CTRL_dyn_Gamma_Manual,3FS_y_force_Manual,KITE_azimuth_dot_wr_Manual,KITE_azimuth_h_Manual,CTRL_dyn_GammaRef_Manual,KITE_azimuth_mg_Manual,KITE_azimuth_wr_Manual,CTRL_dyn_command_Manual,3FS_y_voltage_Manual,KITE_elevation_b_Manual,3FS_x_force_Manual,KITE_elevation_dot_wr_Manual,CTRL_left_diff_Manual,KITE_elevation_wr_Manual,KITE_lacet_wr_Manual,CTRL_man_command_Manual,3FS_z_force_Manual,CTRL_right_diff_Manual
,,0,2023-06-07T10:30:21.783Z,-0.24156755208969116,251.6363525390625,1.2772557735443115,1.696698784828186,-34,251,50,70,200,0.37981948256492615,-13.840801239013672,-1.4496530294418335,-56,-9.68713092803955,-13.866073608398438,-1.2945449352264404,0,-7.375153064727783,0.922232985496521,1.5236499309539795,21.762054443359375,94,-8.229780197143555,61,16.764019012451172,-83.05899810791016,122.59886932373047,-226,-183
,,0,2023-06-07T10:30:21.791Z,-0.24156755208969116,251.6363525390625,1.2772557735443115,1.696698784828186,-34,251,50,70,200,0.37981948256492615,-13.840801239013672,-1.4496530294418335,-56,-9.68713092803955,-13.866073608398438,-1.2945449352264404,0,-7.375153064727783,0.922232985496521,1.5236499309539795,21.762054443359375,94,-8.229780197143555,61,16.764019012451172,-83.05899810791016,122.59886932373047,-226,-183
,,0,2023-06-07T10:30:21.824Z,-0.24895961582660675,240.51434326171875,1.2802045345306396,1.6967562437057495,-34,247,50,70,200,0.37030333280563354,-14.264335632324219,-1.4125796556472778,-56,-19.660972595214844,-14.291339874267578,-1.128896951675415,0,-8.760022163391113,3.1581718921661377,1.5232247114181519,21.21681785583496,94,-6.42514181137085,49,16.615291595458984,-80.93485260009766,98.87005615234375,-220,-148
,,0,2023-06-07T10:30:21.876Z,-0.25667262077331543,222.63629150390625,1.283191442489624,1.6967532634735107,-34,242,50,70,200,0.36077117919921875,-14.706257820129395,-1.352986216545105,-57,-16.215810775756836,-14.734101295471191,-0.9630969166755676,0,-9.201945304870605,5.737941265106201,1.5228073596954346,20.670665740966797,94,-6.962035655975342,47,16.304597854614258,-77.52040100097656,94.91525268554688,-215,-142
,,0,2023-06-07T10:30:21.888Z,-0.25667262077331543,222.63629150390625,1.283191442489624,1.6967532634735107,-34,242,50,70,200,0.36077117919921875,-14.706257820129395,-1.352986216545105,-57,-16.215810775756836,-14.734101295471191,-0.9630969166755676,0,-9.201945304870605,5.737941265106201,1.5228073596954346,20.670665740966797,94,-6.962035655975342,47,16.304597854614258,-77.52040100097656,94.91525268554688,-215,-142
,,0,2023-06-07T10:30:21.902Z,-0.2646482288837433,196.9516143798828,1.2861846685409546,1.696653127670288,-34,237,50,70,200,0.3515317738056183,-15.163227081298828,-1.267370581626892,-58,-14.299172401428223,-15.192688941955566,-0.7979280948638916,0,-9.658913612365723,7.850889205932617,1.5224058628082275,20.141286849975586,94,-7.439558982849121,47,15.978363990783691,-72.61498260498047,94.91525268554688,-210,-142
,,0,2023-06-07T10:30:21.942Z,-0.27294445037841797,193.17173767089844,1.2890989780426025,1.696462631225586,-34,232,50,70,200,0.342815101146698,-15.638565063476562,-1.2547709941864014,-59,-13.33288860321045,-15.668235778808594,-0.6340664625167847,0,-10.134252548217773,9.42862606048584,1.5220043659210205,19.64185905456543,94,-5.9638495445251465,46,15.828351974487305,-71.89308166503906,92.93785095214844,-204,-139
,,0,2023-06-07T10:30:22Z,-0.2812759578227997,181.24452209472656,1.2918707132339478,1.6962379217147827,-34,228,50,70,200,0.3345469832420349,-16.115924835205078,-1.2150136232376099,-60,-12.773335456848145,-16.145816802978516,-0.47212091088294983,0,-10.611612319946289,12.489721298217773,1.5216108560562134,19.16813087463379,93,-6.130956172943115,46,15.573087692260742,-69.61515045166016,92.93785095214844,-199,-139
,,0,2023-06-07T10:30:22.001Z,-0.2812759578227997,181.24452209472656,1.2918707132339478,1.6962379217147827,-34,228,50,70,200,0.3345469832420349,-16.115924835205078,-1.2150136232376099,-60,-12.773335456848145,-16.145816802978516,-0.47212091088294983,0,-10.611612319946289,12.489721298217773,1.5216108560562134,19.16813087463379,93,-6.130956172943115,46,15.573087692260742,-69.61515045166016,92.93785095214844,-199,-139
,,0,2023-06-07T10:30:22.022Z,-0.28980904817581177,163.31451416015625,1.2945884466171265,1.6959054470062256,-34,224,50,70,200,0.3269352316856384,-16.604835510253906,-1.1552469730377197,-60,-22.111406326293945,-16.63578987121582,-0.31267228722572327,0,-12.056352615356445,14.91894817352295,1.5212361812591553,18.732009887695312,93,-4.4143900871276855,47,15.499505996704102,-66.1907730102539,94.91525268554688,-194,-142
,,0,2023-06-07T10:30:22.062Z,-0.298522025346756,147.84640502929688,1.2973599433898926,1.695478916168213,-34,219,50,70,200,0.3196410834789276,-17.10405158996582,-1.1036865711212158,-61,-18.25901222229004,-17.135150909423828,-0.1562730222940445,0,-12.555569648742676,16.901334762573242,1.5209070444107056,18.314085006713867,92,-4.795567512512207,46,15.284812927246094,-63.2365837097168,92.93785095214844,-189,-139
,,0,2023-06-07T10:30:22.092Z,-0.298522025346756,147.84640502929688,1.2973599433898926,1.695478916168213,-34,219,50,70,200,0.3196410834789276,-17.10405158996582,-1.1036865711212158,-61,-18.25901222229004,-17.135150909423828,-0.1562730222940445,0,-12.555569648742676,16.901334762573242,1.5209070444107056,18.314085006713867,92,-4.795567512512207,46,15.284812927246094,-63.2365837097168,92.93785095214844,-189,-139
